City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Yozgat,TR,39.5833,35.3333,90.73,18,0,9.13,clear sky,2021-07-17 12:13:15
1,Porto Novo,BJ,6.4965,2.6036,78.64,80,100,7.58,light rain,2021-07-17 12:13:16
2,General Roca,AR,-39.0333,-67.5833,34.2,50,0,15.88,clear sky,2021-07-17 12:13:16
3,Arrecife,ES,28.963,-13.5477,82.38,54,0,16.11,clear sky,2021-07-17 12:13:16
4,Hirosaki,JP,40.5931,140.4725,78.51,95,39,0.4,scattered clouds,2021-07-17 12:13:17
5,Thompson,CA,55.7435,-97.8558,46.42,62,6,9.35,clear sky,2021-07-17 12:13:17
6,Pangai,TO,-19.8,-174.35,76.75,85,2,20.49,clear sky,2021-07-17 12:13:17
7,Mataura,NZ,-46.1927,168.8643,46.47,99,100,1.34,overcast clouds,2021-07-17 12:13:18
8,Aksu,CN,41.1231,80.2644,85.5,33,34,12.19,light rain,2021-07-17 12:13:18
9,Cockburn Town,TC,21.4612,-71.1419,81.36,77,94,20.67,overcast clouds,2021-07-17 12:13:18
10,Ribeira Grande,PT,38.5167,-28.7,70.2,64,20,8.05,few clouds,2021-07-17 12:13:18
11,Halifax,CA,44.6453,-63.5724,72.52,90,99,1.01,overcast clouds,2021-07-17 12:11:00
12,Wanning,CN,18.8003,110.3967,82.69,78,100,2.8,overcast clouds,2021-07-17 12:13:19
13,Hamilton,US,39.1834,-84.5333,72.88,97,90,1.01,overcast clouds,2021-07-17 12:13:19
14,Port Alfred,ZA,-33.5906,26.891,66.9,40,0,13.31,clear sky,2021-07-17 12:13:19
15,Le Port,RE,-20.9373,55.2919,75.61,79,42,9.71,light rain,2021-07-17 12:13:20
16,Isangel,VU,-19.55,169.2667,76.03,91,6,4.45,clear sky,2021-07-17 12:13:20
17,Atuona,PF,-9.8,-139.0333,77.74,76,45,23.55,scattered clouds,2021-07-17 12:13:20
18,Miri,MY,4.4148,114.0089,80.55,77,80,5.12,broken clouds,2021-07-17 12:13:21
